Username,Followers,Following,Posts,Ratio,Score,Verdict,Why
seema347437,225,3124,0,13.9,95,BOT,"no posts, follows 3124"
sexy54364,79,1838,0,23.3,95,BOT,"ratio 23x, only 0 posts"
shivaagi___0162,744,16000,0,21.5,95,BOT,"ratio 22x, only 0 posts"
sidhuz._.34,1013,5058,0,5.0,95,BOT,"no posts, follows 5058"
simozabo25,329,1634,0,5.0,95,BOT,"no posts, follows 1634"
singhvansh110,43,2139,0,49.7,95,BOT,"ratio 50x, only 0 posts"
siple_ramya,98,2961,0,30.2,95,BOT,"ratio 30x, only 0 posts"
skp_kannadiga,65,986,10,15.2,95,BOT,"ratio 15x, only 10 posts"
snehagedam7,99,2954,0,29.8,95,BOT,"ratio 30x, only 0 posts"
sofi.ii237,81,1639,2,20.2,95,BOT,"ratio 20x, only 2 posts"
stevenn012345,114,4236,0,37.2,95,BOT,"ratio 37x, only 0 posts"
stranger___0770,41,1649,0,40.2,95,BOT,"ratio 40x, only 0 posts"
sula__mwn,79,2227,0,28.2,95,BOT,"ratio 28x, only 0 posts"
sultan23749,101,4574,0,45.3,95,BOT,"ratio 45x, only 0 posts"
sunil12341737,168,1563,0,9.3,95,BOT,"no posts, follows 1563"
tanya_singh_244678,341,2950,0,8.7,95,BOT,"no posts, follows 2950"
tarai_yadav,24,1005,0,41.9,95,BOT,"ratio 42x, only 0 posts"
thakurain_00777,29,1171,0,40.4,95,BOT,"ratio 40x, only 0 posts"
ub_789__,114,1365,0,12.0,95,BOT,"no posts, follows 1365"
unicorn.24404017,803,4624,0,5.8,95,BOT,"no posts, follows 4624"
unicorn.4076601,90,3122,0,34.7,95,BOT,"ratio 35x, only 0 posts"
urr_nurr_111,48,2381,0,49.6,95,BOT,"ratio 50x, only 0 posts"
v_vip_king_001,22,602,1,27.4,95,BOT,"ratio 27x, only 1 posts"
vikramkumar55646,114,4476,3,39.3,95,BOT,"ratio 39x, only 3 posts"
why_.panther,45,1937,1,43.0,95,BOT,"ratio 43x, only 1 posts"
